Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Population [Pop],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],"Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],Cost of oils and fats [CoHD_of],"Cost of legumes, nuts and seeds [CoHD_lns]",Cost of animal-source foods [CoHD_asf],Cost of starchy staples [CoHD_ss],Cost of vegetables [CoHD_v],Cost of fruits [CoHD_f],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of a healthy diet [CoHD],Cost of a nutrient adequate diet [CoNA],Cost of an energy sufficient diet [CoCA]
Food Prices for Nutrition 1.1,FPN 1.1,Australia,AUS,2017,YR2017,24594202,0.2,0.1,0.1,0.7,0.5,0.2,0.333,0.235,0.045,2.017,1.424,0.274,0.3,1.13,2.07,2.7,0.03,3.02,0.11,0.203,0.098,0.264,0.295,0.067,0.249,0.458,0.221,0.597,0.667,7.36,2.259,1.595,0.307
Food Prices for Nutrition 1.1,FPN 1.1,Austria,AUT,2017,YR2017,8797566,0.1,0,0,0.6,0.5,0.2,0.39,0.318,0.049,2.475,2.014,0.309,0.24,1.57,2.67,3.05,0.02,3.58,0.13,0.221,0.083,0.252,0.295,0.055,0.36,0.612,0.229,0.698,0.819,8.01,2.772,2.256,0.346
Food Prices for Nutrition 1.1,FPN 1.1,Azerbaijan,AZE,2017,YR2017,9854033,0,0,0,0,0,0,0.288,0.225,0.097,2.096,1.639,0.704,0.29,1.03,1.63,0.71,0.056,0.58,0.197,0.31,0.191,0.135,0.111,0.132,0.463,0.729,0.448,0.317,0.26,2.98,2.348,1.836,0.789
Food Prices for Nutrition 1.1,FPN 1.1,"Bahamas, The",BHS,2017,YR2017,399020,..,..,..,..,..,..,0.69,0.755,0.169,3.818,4.181,0.937,0.79,1.14,1.48,1.25,0.106,1.79,0.153,0.198,0.134,0.167,0.241,0.453,0.656,0.848,0.574,0.716,1.03,4.08,4.276,4.683,1.049
Food Prices for Nutrition 1.1,FPN 1.1,Bahrain,BHR,2017,YR2017,1456834,..,..,..,..,..,..,0.492,0.412,0.115,3.017,2.526,0.707,0.28,0.57,1.54,1.05,0.055,0.73,0.11,0.298,0.193,0.204,0.14,0.185,0.373,1.006,0.653,0.688,0.474,4.27,3.379,2.829,0.792
Food Prices for Nutrition 1.1,FPN 1.1,Bangladesh,BGD,2017,YR2017,161793964,120.7,76.7,0.9,74.6,47.4,0.5,0.648,0.438,0.145,2.573,1.738,0.575,0.33,0.63,3.18,1.33,0.041,1.56,0.079,0.397,0.125,0.166,0.194,0.118,0.227,1.143,0.359,0.477,0.559,4.48,2.882,1.947,0.644
Food Prices for Nutrition 1.1,FPN 1.1,Barbados,BRB,2017,YR2017,279187,..,..,..,..,..,..,..,0.542,0.218,..,1.988,0.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.226,0.896
Food Prices for Nutrition 1.1,FPN 1.1,Belarus,BLR,2017,YR2017,9458989,0.2,0,0,2.1,0.2,0,0.378,0.257,0.095,2.837,1.929,0.714,0.34,1.27,1.63,0.69,0.055,1.34,0.202,0.26,0.159,0.11,0.213,0.174,0.643,0.826,0.506,0.349,0.678,3.97,3.177,2.161,0.8
Food Prices for Nutrition 1.1,FPN 1.1,Belgium,BEL,2017,YR2017,11375158,0,0,0,0.3,0.3,0.1,0.347,0.291,0.032,2.555,2.148,0.235,0.27,1.66,3.36,3.05,0.021,3.56,0.129,0.26,0.078,0.237,0.276,0.06,0.369,0.745,0.222,0.677,0.79,10.88,2.862,2.406,0.263
Food Prices for Nutrition 1.1,FPN 1.1,Belize,BLZ,2017,YR2017,374693,0.2,0.2,0.1,47.4,53.2,17.6,1.009,1.143,0.461,2.211,2.503,1.009,0.34,0.59,2.04,2.12,0.052,0.43,0.09,0.313,0.153,0.325,0.065,0.129,0.224,0.776,0.38,0.805,0.162,2.19,2.476,2.803,1.13
Food Prices for Nutrition 1.1,FPN 1.1,Benin,BEN,2017,YR2017,11596779,10.5,9.5,1.6,90.5,81.7,13.5,1.721,1.211,0.316,3.17,2.23,0.582,0.3,0.72,2.85,2.47,0.035,1.31,0.084,0.329,0.115,0.285,0.152,0.125,0.297,1.168,0.41,1.012,0.538,5.44,3.55,2.498,0.652
Food Prices for Nutrition 1.1,FPN 1.1,Bermuda,BMU,2017,YR2017,63873,..,..,..,..,..,..,0.387,0.447,0.104,3.636,4.202,0.981,0.22,0.71,0.68,2.22,0.041,0.64,0.13,0.123,0.182,0.406,0.117,0.165,0.53,0.502,0.743,1.652,0.478,3.71,4.072,4.706,1.099
Food Prices for Nutrition 1.1,FPN 1.1,Bhutan,BTN,2017,YR2017,756121,0.4,0.2,0,51.2,26.2,0.7,0.753,0.481,0.18,3.913,2.502,0.935,0.3,0.79,2.21,1.74,0.037,2.08,0.097,0.272,0.123,0.214,0.256,0.164,0.427,1.191,0.54,0.94,1.122,4.19,4.383,2.802,1.047
Food Prices for Nutrition 1.1,FPN 1.1,Bolivia,BOL,2017,YR2017,11435533,2.4,2.2,0.8,20.9,19.1,6.8,0.624,0.586,0.258,3.171,2.98,1.311,0.18,0.68,1.34,0.82,0.039,0.53,0.149,0.295,0.22,0.181,0.116,0.14,0.53,1.046,0.781,0.644,0.411,2.42,3.551,3.338,1.468
Food Prices for Nutrition 1.1,FPN 1.1,Bonaire,BON,2017,YR2017,..,..,..,..,..,..,..,..,1.002,0.225,..,2.972,0.666,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.329,0.746
Food Prices for Nutrition 1.1,FPN 1.1,Bosnia and Herzegovina,BIH,2017,YR2017,3440027,0.2,0.1,0,4.6,2.4,0,0.487,0.386,0.087,3.435,2.724,0.617,0.24,0.95,1.71,1.53,0.034,1.7,0.133,0.239,0.14,0.214,0.238,0.132,0.512,0.921,0.54,0.825,0.916,5.57,3.847,3.051,0.691
Food Prices for Nutrition 1.1,FPN 1.1,Botswana,BWA,2017,YR2017,2401840,1.5,1.1,0,63.2,44.3,1.3,0.274,0.17,0.038,3.234,2.009,0.451,0.36,1.03,2.81,2.04,0.039,2.04,0.111,0.303,0.108,0.22,0.219,0.142,0.402,1.097,0.39,0.796,0.795,7.17,3.622,2.25,0.505
Food Prices for Nutrition 1.1,FPN 1.1,Brazil,BRA,2017,YR2017,208504960,41,37.8,7.3,19.6,18.1,3.5,0.634,0.599,0.191,2.508,2.372,0.757,0.15,1.69,1.45,1.06,0.024,1.05,0.264,0.226,0.156,0.166,0.164,0.067,0.742,0.635,0.439,0.465,0.46,3.31,2.809,2.657,0.848
Food Prices for Nutrition 1.1,FPN 1.1,British Virgin Islands,VGB,2017,YR2017,30060,..,..,..,..,..,..,0.358,0.338,0.173,2.888,2.731,1.396,0.19,0.29,1.02,0.97,0.047,0.53,0.073,0.256,0.25,0.243,0.131,0.152,0.237,0.828,0.808,0.785,0.425,2.07,3.235,3.059,1.563
Food Prices for Nutrition 1.1,FPN 1.1,Brunei Darussalam,BRN,2017,YR2017,430276,..,..,..,..,..,..,0.772,0.445,0.143,3.684,2.121,0.68,0.15,0.6,1.67,1.38,0.024,1.33,0.098,0.272,0.163,0.226,0.217,0.098,0.405,1.123,0.674,0.932,0.894,5.41,4.126,2.376,0.762
Food Prices for Nutrition 1.1,FPN 1.1,Bulgaria,BGR,2017,YR2017,7075947,0.8,0.4,0,10.6,6.3,0.3,0.576,0.422,0.077,3.375,2.471,0.45,0.2,0.95,1.91,1.54,0.027,1.9,0.126,0.255,0.133,0.205,0.254,0.101,0.478,0.963,0.504,0.774,0.959,7.5,3.78,2.768,0.504
Food Prices for Nutrition 1.1,FPN 1.1,Burkina Faso,BFA,2017,YR2017,19835858,16.4,15.1,1.1,82.9,76.1,5.3,1.997,1.598,0.361,2.833,2.266,0.513,0.43,0.29,2.61,2.09,0.06,0.81,0.04,0.361,0.138,0.289,0.112,0.19,0.127,1.145,0.439,0.917,0.354,5.53,3.173,2.538,0.574
Food Prices for Nutrition 1.1,FPN 1.1,Burundi,BDI,2017,YR2017,11155593,10.7,9.5,4.8,96.1,85.1,43.1,3.412,1.814,0.808,2.668,1.419,0.632,0.17,0.28,1.81,0.87,0.036,0.73,0.058,0.372,0.206,0.178,0.15,0.107,0.174,1.112,0.615,0.532,0.447,4.22,2.988,1.589,0.708
Food Prices for Nutrition 1.1,FPN 1.1,Cabo Verde,CPV,2017,YR2017,564954,0.3,0.2,0,44.5,29.7,0.3,0.753,0.565,0.139,2.998,2.252,0.554,0.29,0.82,2.28,3.03,0.029,2.41,0.084,0.232,0.102,0.309,0.245,0.098,0.281,0.779,0.342,1.036,0.823,5.42,3.358,2.522,0.62
Food Prices for Nutrition 1.1,FPN 1.1,Cambodia,KHM,2017,YR2017,15830689,..,..,..,..,..,..,0.933,0.712,0.256,3.23,2.465,0.887,0.3,0.84,2.44,1.57,0.041,1.05,0.117,0.339,0.139,0.219,0.145,0.15,0.422,1.226,0.503,0.791,0.526,3.64,3.618,2.761,0.993
Food Prices for Nutrition 1.1,FPN 1.1,Cameroon,CMR,2017,YR2017,24393181,14.3,11.8,3.8,58.8,48.2,15.4,1.128,0.89,0.385,2.336,1.844,0.798,0.24,0.3,1.74,1.23,0.044,0.93,0.055,0.32,0.183,0.226,0.171,0.116,0.144,0.837,0.48,0.592,0.447,2.93,2.616,2.065,0.894
Food Prices for Nutrition 1.1,FPN 1.1,Canada,CAN,2017,YR2017,36545236,0.3,0.2,0,0.7,0.5,0,0.451,0.333,0.106,2.556,1.885,0.601,0.18,0.72,1.78,1.41,0.027,1.57,0.108,0.268,0.15,0.211,0.235,0.078,0.31,0.766,0.43,0.605,0.673,4.25,2.863,2.111,0.673
Food Prices for Nutrition 1.1,FPN 1.1,Cayman Islands,CYM,2017,YR2017,63581,..,..,..,..,..,..,0.469,0.358,0.175,2.614,1.992,0.978,0.22,0.46,1.05,1.35,0.043,1.18,0.088,0.2,0.19,0.256,0.223,0.125,0.257,0.585,0.556,0.75,0.654,2.67,2.928,2.231,1.095
Food Prices for Nutrition 1.1,FPN 1.1,Central African Republic,CAF,2017,YR2017,4996741,4.7,4.1,3.3,94.3,82.3,65.4,2.761,1.376,0.823,3.056,1.523,0.912,0.33,0.27,2.45,1.82,0.051,0.66,0.041,0.375,0.153,0.279,0.101,0.174,0.141,1.284,0.525,0.955,0.345,3.35,3.423,1.706,1.021
Food Prices for Nutrition 1.1,FPN 1.1,Chad,TCD,2017,YR2017,15085884,12.5,9.2,1.7,82.7,60.7,11.3,1.458,0.907,0.365,2.528,1.572,0.633,0.35,0.38,1.77,1.41,0.061,0.78,0.066,0.312,0.176,0.248,0.138,0.172,0.187,0.882,0.497,0.703,0.39,3.99,2.831,1.761,0.709
Food Prices for Nutrition 1.1,FPN 1.1,Chile,CHL,2017,YR2017,18368577,0.8,0.3,0,4.6,1.6,0.2,0.491,0.35,0.104,2.726,1.946,0.575,0.33,0.74,2.17,2.67,0.038,1.76,0.085,0.251,0.115,0.308,0.203,0.116,0.261,0.765,0.352,0.94,0.619,4.74,3.053,2.179,0.644
Food Prices for Nutrition 1.1,FPN 1.1,China,CHN,2017,YR2017,1396215000,232.2,135.5,2.9,16.6,9.7,0.2,0.935,0.767,0.308,2.296,1.885,0.757,0.22,0.66,1.57,1.11,0.036,1.44,0.109,0.261,0.167,0.186,0.24,0.093,0.281,0.672,0.429,0.478,0.617,3.03,2.571,2.111,0.848
Food Prices for Nutrition 1.1,FPN 1.1,Colombia,COL,2017,YR2017,48351671,12,9.8,1.7,24.8,20.3,3.5,0.645,0.569,0.223,2.556,2.255,0.885,0.27,0.48,1.46,1.13,0.051,0.9,0.092,0.279,0.191,0.216,0.172,0.146,0.262,0.798,0.548,0.617,0.492,2.89,2.863,2.526,0.991
Food Prices for Nutrition 1.1,FPN 1.1,Comoros,COM,2017,YR2017,761664,..,..,..,..,..,..,..,0.934,0.297,..,3.09,0.983,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.461,1.101
Food Prices for Nutrition 1.1,FPN 1.1,"Congo, Dem. Rep.",COD,2017,YR2017,84283273,79.3,73,23.2,94.1,86.7,27.5,1.878,1.318,0.36,2.608,1.829,0.5,0.2,0.36,3.15,2.1,0.026,0.82,0.047,0.413,0.131,0.275,0.108,0.076,0.136,1.207,0.383,0.804,0.315,5.22,2.921,2.049,0.56
Food Prices for Nutrition 1.1,FPN 1.1,"Congo, Rep.",COG,2017,YR2017,5312340,4.7,4.3,2.1,88.9,80.9,40.3,1.52,1.171,0.449,2.985,2.3,0.881,0.19,0.42,1.19,2.11,0.03,1.38,0.067,0.189,0.159,0.335,0.219,0.1,0.224,0.633,0.532,1.12,0.733,3.39,3.343,2.576,0.987
Food Prices for Nutrition 1.1,FPN 1.1,Costa Rica,CRI,2017,YR2017,4993842,0.8,0.4,0,16,7.8,0.7,0.642,0.458,0.158,3.537,2.521,0.869,0.15,0.67,1.4,2.25,0.024,0.95,0.104,0.218,0.156,0.35,0.148,0.094,0.411,0.863,0.617,1.388,0.587,4.07,3.961,2.824,0.973
Food Prices for Nutrition 1.1,FPN 1.1,C̫te d'Ivoire,CIV,2017,YR2017,24848016,19.3,9.8,2.1,77.7,39.6,8.4,1.038,0.513,0.258,2.922,1.446,0.728,0.34,0.34,2.56,2.4,0.045,0.9,0.046,0.339,0.133,0.318,0.119,0.148,0.149,1.111,0.434,1.041,0.39,4.02,3.273,1.619,0.815
Food Prices for Nutrition 1.1,FPN 1.1,Croatia,HRV,2017,YR2017,4124531,0.3,0.1,0,6.2,3.3,0.3,0.481,0.371,0.077,3.721,2.867,0.592,0.15,1.12,1.93,2.29,0.018,1.92,0.133,0.229,0.119,0.273,0.228,0.073,0.556,0.955,0.496,1.138,0.95,6.29,4.168,3.211,0.663
Food Prices for Nutrition 1.1,FPN 1.1,Curacao,CUW,2017,YR2017,160175,..,..,..,..,..,..,0.549,0.459,0.218,2.559,2.139,1.015,0.19,0.49,1.11,1.17,0.04,0.77,0.103,0.235,0.212,0.248,0.163,0.114,0.295,0.673,0.607,0.711,0.466,2.52,2.866,2.396,1.137
Food Prices for Nutrition 1.1,FPN 1.1,Cyprus,CYP,2017,YR2017,1208523,0,0,0,0.1,0.1,0,0.468,0.34,0.095,2.541,1.846,0.515,0.19,0.67,1.68,1.56,0.028,1.74,0.098,0.245,0.146,0.228,0.254,0.08,0.279,0.697,0.416,0.65,0.724,4.93,2.846,2.068,0.577
Food Prices for Nutrition 1.1,FPN 1.1,Czech Republic,CZE,2017,YR2017,10594438,0,0,0,0.2,0.1,0,0.384,0.313,0.058,2.588,2.108,0.394,0.26,1.27,2.36,2.55,0.026,2.33,0.13,0.241,0.102,0.261,0.239,0.076,0.377,0.7,0.297,0.757,0.693,6.57,2.899,2.361,0.441
Food Prices for Nutrition 1.1,FPN 1.1,Denmark,DNK,2017,YR2017,5764980,0,0,0,0.2,0.2,0.1,0.348,0.253,0.044,2.121,1.543,0.268,0.23,1.12,2.12,3.32,0.022,2.32,0.111,0.21,0.099,0.328,0.23,0.053,0.263,0.498,0.235,0.78,0.546,7.92,2.376,1.728,0.3
Food Prices for Nutrition 1.1,FPN 1.1,Djibouti,DJI,2017,YR2017,1040233,0.7,0.6,0.1,65.8,59,5.6,1.167,1.026,0.257,2.497,2.196,0.55,0.25,0.37,2.2,1.18,0.04,1.24,0.059,0.353,0.161,0.189,0.199,0.111,0.165,0.988,0.449,0.529,0.556,4.54,2.797,2.459,0.616
Food Prices for Nutrition 1.1,FPN 1.1,Dominica,DMA,2017,YR2017,70403,..,..,..,..,..,..,0.87,0.756,0.265,3.571,3.105,1.087,0.19,0.48,1.1,1.6,0.037,0.86,0.091,0.21,0.191,0.307,0.165,0.146,0.363,0.841,0.764,1.226,0.66,3.29,4,3.478,1.217
Food Prices for Nutrition 1.1,FPN 1.1,Dominican Republic,DOM,2017,YR2017,10647244,2.6,1.7,0.1,24.9,15.8,1.3,0.455,0.371,0.152,3.144,2.568,1.054,0.27,0.53,1.32,1.27,0.051,0.78,0.103,0.255,0.193,0.246,0.152,0.181,0.362,0.898,0.681,0.865,0.534,2.98,3.521,2.876,1.181
Food Prices for Nutrition 1.1,FPN 1.1,East Asia & Pacific,EAS,2017,YR2017,2288221317,587.9,369.3,24.5,26.1,16.4,1.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.124,0.363,0.933,0.617,0.842,0.821,..,3.7,2.62,0.973
Food Prices for Nutrition 1.1,FPN 1.1,Ecuador,ECU,2017,YR2017,16696944,2.9,2.5,0.7,17.6,14.8,4.4,0.65,0.586,0.314,2.489,2.243,1.204,0.16,0.42,0.93,0.53,0.046,0.41,0.122,0.27,0.291,0.153,0.118,0.129,0.341,0.753,0.81,0.426,0.329,2.07,2.788,2.512,1.348
Food Prices for Nutrition 1.1,FPN 1.1,"Egypt, Arab Rep.",EGY,2017,YR2017,101789386,68.6,34,1,67.4,33.4,1,0.286,0.189,0.082,3.087,2.045,0.882,0.46,0.66,2.08,0.84,0.076,0.92,0.111,0.35,0.168,0.141,0.154,0.264,0.384,1.209,0.58,0.489,0.531,3.5,3.457,2.29,0.988
Food Prices for Nutrition 1.1,FPN 1.1,El Salvador,SLV,2017,YR2017,6266654,..,..,..,..,..,..,..,1.089,0.271,..,5.238,1.304,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.866,1.46
Food Prices for Nutrition 1.1,FPN 1.1,Equatorial Guinea,GNQ,2017,YR2017,1450694,..,..,..,..,..,..,0.365,0.193,0.08,3.148,1.665,0.686,0.19,0.38,1.29,1.85,0.034,0.95,0.066,0.228,0.177,0.327,0.168,0.119,0.234,0.804,0.623,1.152,0.593,4.59,3.526,1.865,0.768
Food Prices for Nutrition 1.1,FPN 1.1,Estonia,EST,2017,YR2017,1317384,0,0,0,1,0.8,0.2,0.372,0.304,0.05,2.79,2.28,0.373,0.26,2.02,2.26,1.63,0.027,2.23,0.215,0.241,0.107,0.173,0.237,0.085,0.671,0.752,0.333,0.542,0.742,7.48,3.125,2.554,0.418
Food Prices for Nutrition 1.1,FPN 1.1,Eswatini,SWZ,2017,YR2017,1151390,0.9,0.7,0.3,77.1,64.5,26.8,0.562,0.368,0.153,3.061,2.004,0.831,0.3,0.68,2.25,1.51,0.045,1.04,0.1,0.331,0.148,0.223,0.153,0.154,0.342,1.136,0.506,0.766,0.524,3.68,3.428,2.244,0.931
Food Prices for Nutrition 1.1,FPN 1.1,Ethiopia,ETH,2017,YR2017,108197950,92.8,67.7,8.4,85.8,62.6,7.7,2.188,1.411,0.508,2.775,1.789,0.644,0.43,0.61,1.99,1.23,0.061,1.75,0.087,0.284,0.143,0.175,0.25,0.189,0.271,0.882,0.444,0.545,0.777,4.31,3.108,2.004,0.721
Food Prices for Nutrition 1.1,FPN 1.1,Europe & Central Asia,ECS,2017,YR2017,826577667,31.4,16.5,1.7,3.8,2,0.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.09,0.371,0.749,0.372,0.687,0.684,..,2.954,2.232,0.545
Food Prices for Nutrition 1.1,FPN 1.1,Fiji,FJI,2017,YR2017,919019,0.4,0.2,0,44.5,21,0.2,0.468,0.331,0.11,3.225,2.284,0.758,0.36,0.38,1.94,1.54,0.052,1.77,0.055,0.277,0.143,0.22,0.253,0.187,0.198,1.001,0.516,0.795,0.914,4.25,3.612,2.558,0.849
Food Prices for Nutrition 1.1,FPN 1.1,Finland,FIN,2017,YR2017,5508214,0,0,0,0.1,0.1,0.1,0.358,0.347,0.039,2.272,2.201,0.25,0.39,2.09,2.78,3.73,0.03,3.06,0.16,0.213,0.077,0.286,0.235,0.077,0.407,0.543,0.195,0.727,0.597,9.09,2.545,2.465,0.28
Food Prices for Nutrition 1.1,FPN 1.1,France,FRA,2017,YR2017,66918020,0,0,0,0.1,0,0,0.373,0.238,0.04,2.621,1.673,0.281,0.27,1.13,2.6,3.45,0.022,3.49,0.094,0.218,0.084,0.289,0.293,0.066,0.277,0.64,0.246,0.848,0.859,9.32,2.936,1.874,0.315
Food Prices for Nutrition 1.1,FPN 1.1,Gabon,GAB,2017,YR2017,2140215,0.6,0.3,0,28.5,16.3,1.3,0.773,0.592,0.22,2.998,2.295,0.854,0.19,0.4,1.33,2.12,0.032,1.03,0.066,0.219,0.165,0.35,0.169,0.106,0.221,0.735,0.553,1.174,0.568,3.51,3.358,2.57,0.956
Food Prices for Nutrition 1.1,FPN 1.1,"Gambia, The",GMB,2017,YR2017,2381182,1.7,1.5,0.2,71.7,62,8.7,1.167,1.003,0.39,2.627,2.258,0.878,0.34,0.29,1.2,1.83,0.056,1.34,0.048,0.2,0.167,0.305,0.224,0.165,0.141,0.589,0.49,0.897,0.659,2.99,2.942,2.529,0.983
Food Prices for Nutrition 1.1,FPN 1.1,Germany,DEU,2017,YR2017,82657002,0.2,0.2,0,0.2,0.2,0,0.384,0.307,0.036,2.488,1.986,0.234,0.22,1.28,2.83,3.47,0.019,3.04,0.108,0.239,0.084,0.293,0.256,0.052,0.301,0.666,0.235,0.816,0.714,10.63,2.786,2.224,0.262
Food Prices for Nutrition 1.1,FPN 1.1,Ghana,GHA,2017,YR2017,30222262,24.2,19,4.5,80,62.9,15,2.288,1.528,0.501,3.363,2.246,0.736,0.27,0.31,2.24,2.29,0.04,0.72,0.046,0.328,0.147,0.335,0.105,0.15,0.172,1.235,0.552,1.263,0.395,4.57,3.767,2.516,0.824
Food Prices for Nutrition 1.1,FPN 1.1,Greece,GRC,2017,YR2017,10754679,0.4,0.3,0.1,3.8,2.6,0.5,0.345,0.291,0.076,2.712,2.283,0.6,0.23,1,1.94,1.81,0.032,1.42,0.135,0.262,0.135,0.244,0.191,0.096,0.41,0.797,0.41,0.742,0.581,4.52,3.037,2.557,0.672
Food Prices for Nutrition 1.1,FPN 1.1,Grenada,GRD,2017,YR2017,120921,..,..,..,..,..,..,0.67,0.469,0.165,4.805,3.363,1.186,0.23,0.88,1.71,1.52,0.033,1.55,0.128,0.248,0.145,0.221,0.224,0.18,0.69,1.335,0.781,1.189,1.207,4.05,5.382,3.767,1.328
Food Prices for Nutrition 1.1,FPN 1.1,Guinea,GIN,2017,YR2017,12240789,10.8,7.5,1,88.4,61.4,8.5,0.995,0.603,0.246,3.263,1.978,0.807,0.36,0.38,1.13,3.6,0.049,0.92,0.051,0.153,0.135,0.487,0.124,0.179,0.188,0.559,0.495,1.781,0.453,4.04,3.655,2.215,0.904
Food Prices for Nutrition 1.1,FPN 1.1,Guinea-Bissau,GNB,2017,YR2017,1879826,1.6,1.1,0.3,84.4,59.6,18.2,0.893,0.524,0.261,2.825,1.658,0.826,0.25,0.12,0.99,2.22,0.046,0.92,0.022,0.18,0.182,0.404,0.167,0.146,0.069,0.569,0.576,1.277,0.528,3.42,3.164,1.857,0.925
Food Prices for Nutrition 1.1,FPN 1.1,Guyana,GUY,2017,YR2017,763252,0.4,0.2,0,46.5,32.7,4.5,1.179,0.918,0.185,4.133,3.22,0.649,0.26,1.31,1.81,2.19,0.029,2.52,0.144,0.199,0.11,0.241,0.277,0.132,0.666,0.922,0.509,1.117,1.282,6.37,4.629,3.606,0.727
Food Prices for Nutrition 1.1,FPN 1.1,Haiti,HTI,2017,YR2017,10863543,9.3,8.2,2.6,85.5,75,24.2,1.476,1.1,0.411,3.509,2.615,0.978,0.2,0.54,2.45,1.31,0.033,0.58,0.089,0.403,0.164,0.215,0.096,0.128,0.35,1.583,0.646,0.845,0.377,3.59,3.93,2.929,1.095
Food Prices for Nutrition 1.1,FPN 1.1,High income,HIC,2017,YR2017,1195574812,18.1,11.5,6.7,1.6,1,0.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.101,0.353,0.744,0.452,0.799,0.688,1.306955435,3.138,2.401,0.709
Food Prices for Nutrition 1.1,FPN 1.1,Honduras,HND,2017,YR2017,9626842,4.7,4.8,1.4,48.5,49.9,14.3,0.956,0.988,0.326,3,3.1,1.023,0.39,0.36,1.7,1.07,0.074,0.76,0.068,0.322,0.19,0.202,0.144,0.248,0.229,1.083,0.637,0.68,0.484,2.93,3.36,3.472,1.146
Food Prices for Nutrition 1.1,FPN 1.1,"Hong Kong SAR, China",HKG,2017,YR2017,7393200,..,..,..,..,..,..,0.321,0.203,0.08,3.267,2.068,0.811,0.21,0.41,1.39,1,0.044,0.91,0.083,0.283,0.204,0.203,0.184,0.16,0.304,1.034,0.745,0.742,0.675,4.03,3.659,2.316,0.908
Food Prices for Nutrition 1.1,FPN 1.1,Hungary,HUN,2017,YR2017,9787966,0.4,0.2,0,3.7,1.9,0.3,0.491,0.336,0.065,2.948,2.016,0.388,0.22,1.03,1.98,1.85,0.027,2.03,0.127,0.244,0.123,0.228,0.251,0.089,0.42,0.805,0.407,0.754,0.828,7.61,3.302,2.258,0.434
Food Prices for Nutrition 1.1,FPN 1.1,Iceland,ISL,2017,YR2017,343400,0,0,0,0,0,0,0.247,0.271,0.042,1.976,2.163,0.338,0.2,1,2.15,1.9,0.025,1.75,0.125,0.269,0.125,0.237,0.219,0.055,0.277,0.596,0.277,0.525,0.484,5.85,2.213,2.422,0.378
Food Prices for Nutrition 1.1,FPN 1.1,India,IND,2017,YR2017,1354195680,1067.4,866.8,43.4,78.8,64,3.2,0.979,0.737,0.274,2.521,1.897,0.704,0.35,0.72,2.19,1.44,0.05,1.24,0.103,0.316,0.144,0.208,0.178,0.142,0.292,0.892,0.407,0.588,0.504,3.58,2.824,2.125,0.789
Food Prices for Nutrition 1.1,FPN 1.1,Indonesia,IDN,2017,YR2017,264498852,192.5,130.8,11.4,72.8,49.4,4.3,0.844,0.545,0.209,3.687,2.379,0.912,0.19,0.62,1.35,1.68,0.031,1.15,0.104,0.225,0.167,0.281,0.192,0.13,0.429,0.929,0.69,1.16,0.792,4.04,4.129,2.664,1.021
Food Prices for Nutrition 1.1,FPN 1.1,"Iran, Islamic Rep.",IRN,2017,YR2017,84505076,12.1,4.2,0.1,14.4,5,0.2,0.753,0.503,0.218,2.683,1.794,0.778,0.37,1.3,1.59,1.1,0.055,1.41,0.191,0.234,0.148,0.163,0.209,0.165,0.575,0.704,0.444,0.49,0.627,3.45,3.005,2.009,0.871
